Location,Incident Type Desciption,tag,cnt
BROADWAY,911 HANG-UP,911 HANG-UP (BROADWAY),550
INTERNATIONAL BLVD,ALARM-RINGER,ALARM-RINGER (INTERNATIONAL BLVD),432
INTERNATIONAL BLVD,911 HANG-UP,911 HANG-UP (INTERNATIONAL BLVD),355
HAWTHORNE AV,MENTALLY ILL,MENTALLY ILL (HAWTHORNE AV),325
INTERNATIONAL BLVD,SECURITY CHECK,SECURITY CHECK (INTERNATIONAL BLVD),309
HARRISON ST,911 HANG-UP,911 HANG-UP (HARRISON ST),276
BROADWAY,ALARM-RINGER,ALARM-RINGER (BROADWAY),268
FOOTHILL BLVD,911 HANG-UP,911 HANG-UP (FOOTHILL BLVD),264
MACARTHUR BLVD,ALARM-RINGER,ALARM-RINGER (MACARTHUR BLVD),263
MACARTHUR BLVD,911 HANG-UP,911 HANG-UP (MACARTHUR BLVD),259
