Location,Incident Type Desciption,tag,cnt
BROADWAY,911 HANG-UP,911 HANG-UP (BROADWAY),437
INTERNATIONAL BLVD,ALARM-RINGER,ALARM-RINGER (INTERNATIONAL BLVD),351
INTERNATIONAL BLVD,SECURITY CHECK,SECURITY CHECK (INTERNATIONAL BLVD),309
BROADWAY,ALARM-RINGER,ALARM-RINGER (BROADWAY),287
AV INTERNATIONAL BLVD,PROSTITUTION/DISORDE,PROSTITUTION/DISORDE (AV INTERNATIONAL BLVD),286
INTERNATIONAL BLVD,911 HANG-UP,911 HANG-UP (INTERNATIONAL BLVD),285
HAWTHORNE AV,MENTALLY ILL,MENTALLY ILL (HAWTHORNE AV),283
MACARTHUR BLVD,ALARM-RINGER,ALARM-RINGER (MACARTHUR BLVD),278
AV INTERNATIONAL BLVD,SECURITY CHECK,SECURITY CHECK (AV INTERNATIONAL BLVD),266
MACARTHUR BLVD,911 HANG-UP,911 HANG-UP (MACARTHUR BLVD),238
