Location,Incident Type Desciption,tag,cnt
BROADWAY,911 HANG-UP,911 HANG-UP (BROADWAY),274
INTERNATIONAL BLVD,ALARM-RINGER,ALARM-RINGER (INTERNATIONAL BLVD),199
AV&INTERNATIONAL BLVD,SECURITY CHECK,SECURITY CHECK (AV&INTERNATIONAL BLVD),191
INTERNATIONAL BLVD,911 HANG-UP,911 HANG-UP (INTERNATIONAL BLVD),167
7TH ST,STOLEN VEHICLE,STOLEN VEHICLE (7TH ST),151
INTERNATIONAL BLVD,DISTURBING THE PEACE,DISTURBING THE PEACE (INTERNATIONAL BLVD),151
34TH ST,MENTALLY ILL,MENTALLY ILL (34TH ST),142
BROADWAY,ALARM-RINGER,ALARM-RINGER (BROADWAY),141
BROADWAY,SECURITY CHECK,SECURITY CHECK (BROADWAY),140
7TH ST,FORGERY,FORGERY (7TH ST),123
