Location,Incident Type Desciption,tag,cnt
MACARTHUR BLVD,SECURITY CHECK,SECURITY CHECK (MACARTHUR BLVD),395
AV&INTERNATIONAL BLVD,SECURITY CHECK,SECURITY CHECK (AV&INTERNATIONAL BLVD),356
BROADWAY,911 HANG-UP,911 HANG-UP (BROADWAY),350
INTERNATIONAL BLVD,ALARM-RINGER,ALARM-RINGER (INTERNATIONAL BLVD),338
BROADWAY,SECURITY CHECK,SECURITY CHECK (BROADWAY),336
HEGENBERGER RD,OBSTRUCT PERSON'S MO,OBSTRUCT PERSON'S MO (HEGENBERGER RD),272
MACARTHUR BLVD,ALARM-RINGER,ALARM-RINGER (MACARTHUR BLVD),265
INTERNATIONAL BLVD,911 HANG-UP,911 HANG-UP (INTERNATIONAL BLVD),264
BROADWAY,ALARM-RINGER,ALARM-RINGER (BROADWAY),258
34TH ST,MENTALLY ILL,MENTALLY ILL (34TH ST),246
