Location,Incident Type Desciption,tag,cnt
BROADWAY,911 HANG-UP,911 HANG-UP (BROADWAY),353
INTERNATIONAL BLVD,ALARM-RINGER,ALARM-RINGER (INTERNATIONAL BLVD),317
AV&INTERNATIONAL BLVD,SECURITY CHECK,SECURITY CHECK (AV&INTERNATIONAL BLVD),312
HEGENBERGER RD,OBSTRUCT PERSON'S MO,OBSTRUCT PERSON'S MO (HEGENBERGER RD),280
HAWTHORNE AV,MENTALLY ILL,MENTALLY ILL (HAWTHORNE AV),260
INTERNATIONAL BLVD,911 HANG-UP,911 HANG-UP (INTERNATIONAL BLVD),244
INTERNATIONAL BLVD,SECURITY CHECK,SECURITY CHECK (INTERNATIONAL BLVD),244
AV&INTERNATIONAL BLVD,PROSTITUTION/DISORDE,PROSTITUTION/DISORDE (AV&INTERNATIONAL BLVD),241
MACARTHUR BLVD,911 HANG-UP,911 HANG-UP (MACARTHUR BLVD),238
MACARTHUR BLVD,ALARM-RINGER,ALARM-RINGER (MACARTHUR BLVD),238
